idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6.40101E+15;6.40101E+13;64;1;11;6;3;2;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 003;-2.01433;115.932668
6.40101E+15;6.40101E+13;64;1;11;6;4;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 004;-2.01323;115.936564
6.40101E+15;6.40101E+13;64;1;11;6;5;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 005;-2.01507;115.939055
6.40101E+15;6.40101E+13;64;1;11;6;6;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 006;-2.03901;115.933797
6.40101E+15;6.40101E+13;64;1;11;6;2001;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;HUTAN;-2.03245;115.810484
6.40101E+15;6.40101E+13;64;1;11;6;2002;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;HUTAN;-2.03017;115.952106
6.40101E+15;6.40101E+13;64;1;11;6;2003;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;HUTAN;-2.00732;115.944972
6.40101E+15;6.40101E+13;64;1;11;7;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;BIU;RT 001;-1.9995;115.937269
6.40101E+15;6.40101E+13;64;1;11;7;2;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;BIU;RT 002;-1.99979;115.918438
6.40101E+15;6.40101E+13;64;1;11;7;3;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;BIU;RT 003;-1.97739;115.914002
6.40101E+15;6.40101E+13;64;1;11;7;2001;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;BIU;HUTAN;-2.00023;115.795972
6.40101E+15;6.40101E+13;64;1;11;7;2002;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;BIU;HUTAN;-1.97057;115.747876
6.40101E+15;6.40101E+13;64;1;11;7;3003;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;BIU;PERTAMBANGAN BATUBARA;-1.98015;115.839323
